nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
PCMACS,NA,1693776039,groupby,G1_1e4_1e2_0_0.csv,10000,sum v1 by id1,100,2,dplyr,1.1.2,,group_by,1,0,NA,TRUE,30027,0.09,NA,FALSE
PCMACS,NA,1693776039,groupby,G1_1e4_1e2_0_0.csv,10000,sum v1 by id1,100,2,dplyr,1.1.2,,group_by,2,0,NA,TRUE,30027,0,NA,FALSE
PCMACS,NA,1693776039,groupby,G1_1e4_1e2_0_0.csv,10000,sum v1 by id1:id2,6272,3,dplyr,1.1.2,,group_by,1,0.06,NA,TRUE,30027,0,NA,FALSE
PCMACS,NA,1693776040,groupby,G1_1e4_1e2_0_0.csv,10000,sum v1 by id1:id2,6272,3,dplyr,1.1.2,,group_by,2,0.03,NA,TRUE,30027,0,NA,FALSE
PCMACS,NA,1693776040,groupby,G1_1e4_1e2_0_0.csv,10000,sum v1 mean v3 by id3,100,3,dplyr,1.1.2,,group_by,1,0.02,NA,TRUE,30027;4999.383,0.02,NA,FALSE
PCMACS,NA,1693776040,groupby,G1_1e4_1e2_0_0.csv,10000,sum v1 mean v3 by id3,100,3,dplyr,1.1.2,,group_by,2,0.02,NA,TRUE,30027;4999.383,0.02,NA,FALSE
PCMACS,NA,1693776040,groupby,G1_1e4_1e2_0_0.csv,10000,mean v1:v3 by id4,100,4,dplyr,1.1.2,,group_by,1,0.05,NA,TRUE,300.146;803.8207;5008.908,0,NA,FALSE
PCMACS,NA,1693776040,groupby,G1_1e4_1e2_0_0.csv,10000,mean v1:v3 by id4,100,4,dplyr,1.1.2,,group_by,2,0,NA,TRUE,300.146;803.8207;5008.908,0.01,NA,FALSE
PCMACS,NA,1693776040,groupby,G1_1e4_1e2_0_0.csv,10000,sum v1:v3 by id6,100,4,dplyr,1.1.2,,group_by,1,0,NA,TRUE,30027;80396;500378.2,0,NA,FALSE
PCMACS,NA,1693776040,groupby,G1_1e4_1e2_0_0.csv,10000,sum v1:v3 by id6,100,4,dplyr,1.1.2,,group_by,2,0.02,NA,TRUE,30027;80396;500378.2,0,NA,FALSE
PCMACS,NA,1693776041,groupby,G1_1e4_1e2_0_0.csv,10000,median v3 sd v3 by id4 id5,6372,4,dplyr,1.1.2,,group_by,1,0.21,NA,TRUE,319418.8;NA,0,NA,FALSE
PCMACS,NA,1693776041,groupby,G1_1e4_1e2_0_0.csv,10000,median v3 sd v3 by id4 id5,6372,4,dplyr,1.1.2,,group_by,2,0.2,NA,TRUE,319418.8;NA,0,NA,FALSE
PCMACS,NA,1693776041,groupby,G1_1e4_1e2_0_0.csv,10000,max v1 - min v2 by id3,100,2,dplyr,1.1.2,,group_by,1,0.01,NA,TRUE,399,0,NA,FALSE
PCMACS,NA,1693776041,groupby,G1_1e4_1e2_0_0.csv,10000,max v1 - min v2 by id3,100,2,dplyr,1.1.2,,group_by,2,0,NA,TRUE,399,0,NA,FALSE
PCMACS,NA,1693776041,groupby,G1_1e4_1e2_0_0.csv,10000,sum v3 count by id1:id6,10000,8,dplyr,1.1.2,,group_by,1,0.08,NA,TRUE,500378.2;10000,0,NA,FALSE
PCMACS,NA,1693776042,groupby,G1_1e4_1e2_0_0.csv,10000,sum v3 count by id1:id6,10000,8,dplyr,1.1.2,,group_by,2,0.08,NA,TRUE,500378.2;10000,0,NA,FALSE
PCMACS,NA,1693776042,groupby,G1_1e4_1e2_10_0.csv,10000,sum v1 by id1,91,2,dplyr,1.1.2,,group_by,1,0.01,NA,TRUE,27044,0,NA,FALSE
PCMACS,NA,1693776042,groupby,G1_1e4_1e2_10_0.csv,10000,sum v1 by id1,91,2,dplyr,1.1.2,,group_by,2,0.01,NA,TRUE,27044,0,NA,FALSE
PCMACS,NA,1693776042,groupby,G1_1e4_1e2_10_0.csv,10000,sum v1 by id1:id2,5276,3,dplyr,1.1.2,,group_by,1,0.03,NA,TRUE,27044,0,NA,FALSE
PCMACS,NA,1693776042,groupby,G1_1e4_1e2_10_0.csv,10000,sum v1 by id1:id2,5276,3,dplyr,1.1.2,,group_by,2,0.02,NA,TRUE,27044,0,NA,FALSE
PCMACS,NA,1693776042,groupby,G1_1e4_1e2_10_0.csv,10000,sum v1 mean v3 by id3,91,3,dplyr,1.1.2,,group_by,1,0.02,NA,TRUE,27044;4546.897,0,NA,FALSE
PCMACS,NA,1693776042,groupby,G1_1e4_1e2_10_0.csv,10000,sum v1 mean v3 by id3,91,3,dplyr,1.1.2,,group_by,2,0.02,NA,TRUE,27044;4546.897,0,NA,FALSE
PCMACS,NA,1693776042,groupby,G1_1e4_1e2_10_0.csv,10000,mean v1:v3 by id4,91,4,dplyr,1.1.2,,group_by,1,0,NA,TRUE,272.5269;730.1485;4555.48,0,NA,FALSE
PCMACS,NA,1693776043,groupby,G1_1e4_1e2_10_0.csv,10000,mean v1:v3 by id4,91,4,dplyr,1.1.2,,group_by,2,0.01,NA,TRUE,272.5269;730.1485;4555.48,0,NA,FALSE
PCMACS,NA,1693776043,groupby,G1_1e4_1e2_10_0.csv,10000,sum v1:v3 by id6,91,4,dplyr,1.1.2,,group_by,1,0,NA,TRUE,27044;72373;449477.7,0,NA,FALSE
PCMACS,NA,1693776043,groupby,G1_1e4_1e2_10_0.csv,10000,sum v1:v3 by id6,91,4,dplyr,1.1.2,,group_by,2,0,NA,TRUE,27044;72373;449477.7,0,NA,FALSE
PCMACS,NA,1693776043,groupby,G1_1e4_1e2_10_0.csv,10000,median v3 sd v3 by id4 id5,5347,4,dplyr,1.1.2,,group_by,1,0.18,NA,TRUE,NA;NA,0,NA,FALSE
PCMACS,NA,1693776043,groupby,G1_1e4_1e2_10_0.csv,10000,median v3 sd v3 by id4 id5,5347,4,dplyr,1.1.2,,group_by,2,0.19,NA,TRUE,NA;NA,0,NA,FALSE
PCMACS,NA,1693776044,groupby,G1_1e4_1e2_10_0.csv,10000,max v1 - min v2 by id3,91,2,dplyr,1.1.2,,group_by,1,0,NA,TRUE,363,0,NA,FALSE
PCMACS,NA,1693776044,groupby,G1_1e4_1e2_10_0.csv,10000,max v1 - min v2 by id3,91,2,dplyr,1.1.2,,group_by,2,0,NA,TRUE,363,0,NA,FALSE
PCMACS,NA,1693776044,groupby,G1_1e4_1e2_10_0.csv,10000,sum v3 count by id1:id6,10000,8,dplyr,1.1.2,,group_by,1,0.08,NA,TRUE,449477.7;10000,0,NA,FALSE
